X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL_,LATITUDE,LONGITUDE
587672.2753,4790328.3093,1,McMaster University - John Hodgins Engineering Building - SE ,,Private ,1,Multi-Ring,48,No,Yes,1,Yes,43.260672,-79.91984
587671.997,4790370.7,2,McMaster University - John Hodgins Engineering Building - NE Corner,,School,1,Multi-Ring,56,No,Yes,1,Yes,43.261047,-79.9198
587710.0969,4790177.4547,3,McMaster University - Communications Research Laboratory - North,,School,1,Multi-Ring,8,No,No,1,Yes,,
591965.8061,4790514.2185,4,Studios at Hotel Hamilton,195 James St,ROW,2,Hammer Hoop,4,,Yes,2,Yes,,
597313.2088,4775051.4681,5,Hamilton Public Library - Binbrook Branch,"2641 Hamilton Regional Rd 56, Binbrook",Municipal,1,Hammer Hoop,6,No,Yes,11,Yes,43.12183,-79.8034
594530.8425,4775809.0004,6,Binbrook,"4280 Binbrook Rd, Binbrook",Municipal,1,Multi-Ring,8,,,11,Yes,43.12912,-79.8378
584827.7255,4790813.4577,7,HPL: Dundas Branch,18 Ogilvie St,Municipal,1,Multi-Ring,8,No,Yes,13,Yes,,
588992.0446,4790576.2418,8,Hamilton Public Library (Westdale Branch),"955 King St W, Hamilton",Municipal,1,Hammer Hoop,8,No,Yes,1,Yes,43.262775,-79.90348
592452.878,4789812.1414,9,Goodwill Career Centre,"King William and Ferguson
225 King William St",Private ,1,Multi-Ring,6,No,Yes,2,Yes,43.255447,-79.861
592311.5543,4789781.5938,10,Social Planning and Research Council of Hamilton ,Walnut and King William,Private ,1,Multi-Ring,6,No,Yes,2,Yes,43.255244,-79.86277
592159.4683,4789547.3563,11,"Anthony Markowski, Practice of Dentistry","Main and Walnut
134 Jackson St E",Private ,1,Hammer Hoop,2,No,Yes,2,Yes,43.253103,-79.86483
592781.2339,4790067.837,12,Shoppers Drug Mart,"232 Cannon Street East, Cannon and Wellington",Private ,1,Multi-Ring,4,No,Yes,3,Yes,43.257736,-79.85695
596241.5656,4789490.2651,13,Walmart,Ottawa and Barton St E,Private,1,Multi-Ring,8,No,Yes,4,Yes,43.252075,-79.81439
595421.1621,4788577.0397,14,Pizza Pizza,King E and Belmont,Private ,1,Multi-Ring,6,No,Yes,3,Yes,43.243903,-79.82454
595871.3509,4788660.2955,15,Tim Hortons,Ottawa and Dunsmere,Private ,1,Hammer Hoop,6,No,Yes,3,Yes,43.244656,-79.81907
592701.73,4789432.0321,16,Canadian Tire,304 Main Street East,Private,1,Multi-Ring,6,No,Yes,3,Yes,43.251967,-79.85787
593204.972,4789257.4994,17,Apartment,460 main e,Private,1,Multi-Ring,8,No,Yes,3,Yes,43.250361,-79.85183
593365.9569,4789281.7462,18,Tim Hortons,503 Main Street East,Private,1,Multi-Ring,6,No,Yes,3,Yes,43.250575,-79.84976
594377.8874,4788872.2791,19,Big Bee Food Mart and Subway,810 Main Street East,Private ,1,Multi-Ring,10,No,No,3,Yes,43.246747,-79.83745
